ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit
2024,Overall,IR-O-U-0575,Jadavpur University,,Kolkata,2022-23,Number of sponsored projects,140.0,value in Absolute Number
2024,Overall,IR-O-U-0575,Jadavpur University,,Kolkata,2021-22,Number of sponsored projects,213.0,value in Absolute Number
2024,Overall,IR-O-U-0575,Jadavpur University,,Kolkata,2020-21,Number of sponsored projects,294.0,value in Absolute Number
2024,Overall,IR-O-U-0575,Jadavpur University,,Kolkata,2022-23,Amount received (INR),365928471.0,value in Rupees
2024,Overall,IR-O-U-0575,Jadavpur University,,Kolkata,2021-22,Amount received (INR),275198783.0,value in Rupees
2024,Overall,IR-O-U-0575,Jadavpur University,,Kolkata,2020-21,Amount received (INR),906971030.0,value in Rupees
2024,Overall,IR-O-U-0575,Jadavpur University,,Kolkata,2022-23,Amount received (INR),274038412.0,value in Rupees
2024,Overall,IR-O-U-0575,Jadavpur University,,Kolkata,2021-22,Amount received (INR),163177698.0,value in Rupees
2024,Overall,IR-O-U-0575,Jadavpur University,,Kolkata,2020-21,Amount received (INR),120390748.0,value in Rupees
2024,Overall,IR-O-U-0496,Aligarh Muslim University,Uttar Pradesh,Aligarh,2022-23,Number of sponsored projects,227.0,value in Absolute Number
2024,Overall,IR-O-U-0496,Aligarh Muslim University,Uttar Pradesh,Aligarh,2021-22,Number of sponsored projects,184.0,value in Absolute Number
2024,Overall,IR-O-U-0496,Aligarh Muslim University,Uttar Pradesh,Aligarh,2020-21,Number of sponsored projects,138.0,value in Absolute Number
