institution_id,tier,inst_type,city,state,openalex_id,ror_id,total_works,match_confidence,is_hub,nirf_institute_id,nirf_rank,nirf_score,nirf_year,canonical_name,latitude,longitude,geo_source
b539f583-d8d6-437c-9ae4-5807681767b9,premier,Central_Univ,Mumbai,,I11947397,03ht1xw27,31986,openalex_auto,False,IR-R-U-0330,12,60.54,2024,Tata Institute of Fundamental Research,18.907124,72.804964,campus_colaba_tifr
fef15cf2-3c2a-4059-85a5-f9737b912a4c,premier,Central_Univ,Mohali,,I101407740,05t4pvx35,30008,openalex_auto,False,IR-O-U-0747,32,58.3,2024,Chandigarh University,30.732,76.731,campus_chandigarh_university
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,premier,Central_Univ,New Delhi,,I152429107,0567v8t28,28941,openalex_auto,False,IR-O-U-0109,10,68.53,2024,Jawaharlal Nehru University,28.5383,77.166,campus_jnu
b49755e6-20af-465e-9c60-82974ede833a,premier,Central_Univ,Hyderabad,,I36893310,04a7rxb17,24908,openalex_auto,False,IR-O-U-0042,25,60.55,2024,University of Hyderabad,17.4530357,78.3270312,campus_university_of_hyderabad
ead97a8a-02d7-4f7b-b0b3-0a56f78257cb,premier,Central_Univ,Chidambaram,Tamil Nadu,I197081775,01x24z140,23779,openalex_auto,False,IR-P-U-0443,27,58.19,2024,Annamalai University,11.390716,79.7114928,campus_annamalai_university
f03f9fd4-2251-4e13-8c6c-5e3ca946f289,premier,Central_Univ,Bengaluru,Karnataka,I48018076,022tv9y30,23204,openalex_auto,False,IR-O-U-0217,90,48.66,2024,Christ University,12.9337799,77.6051611,campus_christ_university
d5b58b79-7727-4cac-b9d6-1735e93b2968,premier,Central_Univ,Noida,Uttar Pradesh,I191972202,02n9z0v62,23172,openalex_auto,False,IR-O-U-0497,49,54.04,2024,Amity University,28.5432229,77.3327483,campus_amity_university
ac8b1844-88b8-465a-9729-6f0ca11190f9,premier,Central_Univ,Chandigarh,,I74319210,057d6z539,23056,openalex_auto,False,IR-O-U-0373,90,46.47,2024,Chitkara University,30.5165,76.6598,campus_chitkara
3ccdda45-076a-4fcb-af38-2f4b09aa8ccb,premier,Central_Univ,Mumbai,,I200207707,02bv3zr67,22809,openalex_auto,False,IR-O-U-0304,27,60.13,2024,Homi Bhabha National Institute,19.0484,72.9254,campus_anushakti_hbni
d031820e-53e0-49a4-b0c5-edb3a7724b8a,premier,Central_Univ,Dehradun,,I60054993,03wqgqd89,22771,openalex_auto,False,IR-O-U-0555,79,50.58,2024,Graphic Era University,30.3165,78.0322,campus_graphic_era
0d8fc077-1885-4fe9-a175-49b042facab9,premier,Central_Univ,Kolkata,,I6498739,00q2w1j53,22762,openalex_auto,False,IR-O-U-0574,75,51.1,2024,Indian Statistical Institute,22.5258,88.3662,campus_isi_kolkata
0d9eda01-0613-4077-b69a-93861219bf67,premier,Central_Univ,New Delhi,Delhi,I59475050,00pnhhv55,22478,openalex_auto,False,IR-O-U-0108,13,66.0,2024,Jamia Millia Islamia,28.5617,77.28,campus_jamia
620c0800-344d-45c2-8c05-b0876f7dac8f,premier,Central_Univ,Vellore,Tamil Nadu,I172917736,00c7kvd80,22296,openalex_auto,False,IR-D-C-45654,3,75.11,2024,"Christian Medical College, Vellore",12.9249,79.1336,campus_cmc_vellore
edf10c4c-ca24-4805-b33c-ddf5428d22ff,premier,Central_Univ,Rourkela,,I16292982,011gmn932,22284,openalex_auto,False,IR-E-U-0357,19,63.38,2024,National Institute of Technology Rourkela,22.2501589,84.9066856,campus_national_institute_of_technology_rourkel
6f6f6042-e2c5-451a-a92d-2bc27b8fa5e4,premier,Central_Univ,Jaipur,,I83205935,0077k1j32,21672,openalex_auto,False,IR-E-U-0410,43,56.35,2024,Malaviya National Institute of Technology Jaipur,26.8727,75.8187,campus_mnit_jaipur
d93978d3-2c97-47c6-8d5a-b6472222104c,premier,Central_Univ,Pilāni,,I74796645,001p3jz28,21176,openalex_auto,False,IR-E-U-0391,20,63.04,2024,"Birla Institute of Technology and Science, Pilani",28.3672,75.6035,campus_bits_pilani
80153acc-b176-42b7-b0f1-dd40b152084d,premier,Central_Univ,Chennai,Tamil Nadu,I215927,04jmt9361,20912,openalex_auto,False,IR-O-I-1357,64,52.58,2024,University of Madras,13.0661,80.2713,campus_madras_univ
5866f537-6318-4586-bf6d-4433c5b4bbf7,state_affiliated,State_Univ,Tiruchchirappalli,,I122964287,047x65e68,20708,openalex_auto,False,IR-E-U-0467,9,66.88,2024,National Institute of Technology Tiruchirappalli,10.7587,78.8044,campus_nit_trichy
529bfa45-38b5-4fa3-ad24-0cdc1a731124,state_affiliated,State_Univ,Vijayawada,,I875944469,02k949197,20525,openalex_auto,False,IR-O-U-0020,22,57.98,2024,Koneru Lakshmaiah Education Foundation,16.5075,80.6466,campus_kl_university
e53966df-0e1d-4551-bffd-ab1bde3800e4,state_affiliated,State_Univ,Pune,Maharashtra,I244572783,005r2ww51,20370,openalex_auto,False,IR-O-U-0329,52,53.93,2024,Symbiosis International University,18.5364,73.8314,campus_symbiosis
d8caf76d-8ea5-44f6-939d-e450309d2de1,state_affiliated,State_Univ,Manipal,,I76414455,05hg48t65,20191,openalex_auto,False,IR-D-C-7242,9,67.42,2024,"Kasturba Medical College, Manipal",13.355,74.7862,campus_kmc_manipal
48e9b5fb-0b5b-42f0-a98b-cbc31d34b300,state_affiliated,State_Univ,Bhubaneswar,,I67357951,00k8zt527,20010,openalex_auto,False,,,,,KIIT University,20.3558,85.8138,campus_kiit
